Date,Open,High,Low,Close,AdjClose,Volume
1/3/2005,1.156786,1.162679,1.117857,1.130179,0.967744,691992000
1/4/2005,1.139107,1.169107,1.124464,1.141786,0.977682,1096810400
1/5/2005,1.151071,1.165179,1.14375,1.151786,0.986245,680433600
1/6/2005,1.154821,1.159107,1.130893,1.152679,0.987009,705555200
1/7/2005,1.160714,1.243393,1.15625,1.236607,1.058875,2227450400
1/10/2005,1.246964,1.2625,1.212143,1.231429,1.054441,1725309600
1/11/2005,1.21875,1.234821,1.145357,1.152857,0.987162,2611627200
1/12/2005,1.16875,1.176786,1.130357,1.168929,1.000924,1919702400
1/13/2005,1.31625,1.328929,1.245179,1.246429,1.067285,3164716800
1/14/2005,1.254464,1.280714,1.235536,1.253571,1.073401,1770742400
1/18/2005,1.247321,1.2625,1.209821,1.261607,1.080282,1006460000
1/19/2005,1.25875,1.276071,1.245536,1.247857,1.068508,751895200
1/20/2005,1.24375,1.272679,1.240536,1.258214,1.077376,914922400
1/21/2005,1.273393,1.278571,1.25,1.25875,1.077835,911332800
1/24/2005,1.2675,1.281786,1.259821,1.263571,1.081964,841629600
1/25/2005,1.274464,1.300714,1.266786,1.286607,1.101689,969231200
1/26/2005,1.2975,1.299107,1.271786,1.290179,1.104747,739496800
1/27/2005,1.288571,1.302143,1.277679,1.297143,1.11071,496227200
1/28/2005,1.296786,1.321071,1.293571,1.321071,1.131199,801612000
1/31/2005,1.331786,1.390893,1.330536,1.373214,1.175848,1681097600
2/1/2005,1.375893,1.38875,1.3675,1.384464,1.185481,678395200
2/2/2005,1.391964,1.426964,1.387321,1.421964,1.217591,1020062400
2/3/2005,1.4125,1.418393,1.380893,1.389464,1.189762,731651200
2/4/2005,1.390536,1.409464,1.384464,1.407857,1.205512,563556000
2/7/2005,1.409464,1.416964,1.383929,1.409643,1.207041,524456800
2/8/2005,1.411964,1.453214,1.406964,1.444643,1.237011,890019200
2/9/2005,1.447143,1.464107,1.394643,1.406071,1.203982,1191456000
2/10/2005,1.405714,1.415714,1.368929,1.399286,1.198173,1093019200
2/11/2005,1.426071,1.46,1.409643,1.450179,1.241751,1201054400
2/14/2005,1.477321,1.514107,1.465179,1.51125,1.294045,1271463200
2/15/2005,1.5475,1.590714,1.535714,1.57875,1.351843,2312217600
2/16/2005,1.574107,1.610714,1.559821,1.609464,1.378143,1639243200
2/17/2005,1.61875,1.622857,1.561607,1.568036,1.342669,1518473600
2/18/2005,1.566786,1.568929,1.540179,1.550179,1.327379,1163254400
2/22/2005,1.541071,1.576786,1.523036,1.523036,1.304137,1219293600
2/23/2005,1.548571,1.579464,1.527679,1.575536,1.349091,1345181600
2/24/2005,1.58,1.594821,1.566607,1.588036,1.359795,1519028000
2/25/2005,1.600357,1.605536,1.574821,1.589107,1.360711,915510400
2/28/2005,1.595714,1.612143,1.57,1.602143,1.371874,651610400
