Date,Open,High,Low,Close,AdjClose,Volume
1/4/2010,7.6225,7.660714,7.585,7.643214,6.544689,493729600
1/5/2010,7.664286,7.699643,7.616071,7.656429,6.556005,601904800
1/6/2010,7.656429,7.686786,7.526786,7.534643,6.451723,552160000
1/7/2010,7.5625,7.571429,7.466071,7.520714,6.439794,477131200
1/8/2010,7.510714,7.571429,7.466429,7.570714,6.482609,447610800
1/11/2010,7.6,7.607143,7.444643,7.503929,6.425422,462229600
1/12/2010,7.471071,7.491786,7.372143,7.418571,6.352334,594459600
1/13/2010,7.423929,7.533214,7.289286,7.523214,6.441934,605892000
1/14/2010,7.503929,7.516429,7.465,7.479643,6.404627,432894000
1/15/2010,7.533214,7.557143,7.3525,7.354643,6.297593,594067600
1/19/2010,7.440357,7.685357,7.401429,7.68,6.576188,730007600
1/20/2010,7.675357,7.698214,7.482143,7.561786,6.474963,612152800
1/21/2010,7.574286,7.618214,7.400357,7.431071,6.363036,608154400
1/22/2010,7.385,7.410714,7.041429,7.0625,6.047439,881767600
1/25/2010,7.2325,7.310714,7.149643,7.2525,6.210129,1065699600
1/26/2010,7.355357,7.6325,7.235,7.355,6.297897,1867110000
1/27/2010,7.3875,7.520714,7.126071,7.424286,6.357225,1722568400
1/28/2010,7.318929,7.339286,7.096429,7.1175,6.094532,1173502400
1/29/2010,7.181429,7.221429,6.794643,6.859286,5.87343,1245952400
2/1/2010,6.870357,7,6.832143,6.954643,5.955082,749876400
2/2/2010,6.996786,7.011429,6.906429,6.995,5.98964,698342400
2/3/2010,6.970357,7.15,6.943571,7.115357,6.092699,615328000
2/4/2010,7.026071,7.084643,6.841786,6.858929,5.873126,757652000
2/5/2010,6.879643,7,6.816071,6.980714,5.977406,850306800
2/8/2010,6.988929,7.067143,6.928571,6.932857,5.936427,478270800
2/9/2010,7.015,7.053571,6.955357,7.006786,5.999732,632886800
2/10/2010,6.996071,7.021429,6.937857,6.968571,5.967008,370361600
2/11/2010,6.96,7.133929,6.930714,7.095357,6.075572,550345600
2/12/2010,7.075357,7.201429,6.982143,7.156429,6.127867,655468800
2/16/2010,7.212143,7.274643,7.197143,7.264286,6.220222,543737600
2/17/2010,7.2925,7.296786,7.173571,7.233929,6.194228,436396800
2/18/2010,7.201071,7.281786,7.175714,7.2475,6.205849,422825200
2/19/2010,7.209286,7.257143,7.1825,7.2025,6.167315,415469600
2/22/2010,7.226429,7.232143,7.113929,7.157857,6.12909,390563600
2/23/2010,7.142857,7.190357,6.989643,7.037857,6.026338,575094800
2/24/2010,7.079643,7.194286,7.065714,7.166429,6.136431,460566400
2/25/2010,7.049286,7.245,7.031786,7.214286,6.177408,665126000
2/26/2010,7.227857,7.3275,7.214286,7.307857,6.257531,507460800
3/1/2010,7.348214,7.482143,7.3375,7.463929,6.391172,550093600
3/2/2010,7.4975,7.529643,7.419286,7.458929,6.386889,566546400
